epoch;acc_x;acc_y
1983.2384;-0.18099;0.01832
1983.4551;-0.19383;0.01104
1983.6718;-0.19885;0.0082
1983.8885;-0.20214;0.01621
1984.1052;-0.18302;0.02929
1984.3219;-0.13332;0.02954
1984.5386;-0.08038;0.02164
1984.7553;-0.03437;0.00775
1984.972;-0.01432;-0.00924
1985.1887;0.01463;-0.01786
1985.4054;0.05468;-0.0248
1985.6221;0.10847;-0.02079
1985.8388;0.14349;-0.01537
1986.0555;0.14397;-0.01048
1986.2722;0.12479;-0.01265
1986.4889;0.11129;-0.0212
1986.7056;0.1289;-0.03416
1986.9223;0.14026;-0.05501
1987.139;0.13165;-0.05685
1987.3557;0.09514;-0.05248
1987.5724;0.05026;-0.0371
1987.7891;0.02875;-0.01682
1988.0058;0.01914;-0.0026
1988.2225;0.01033;0.00373
1988.4392;-0.03238;-0.00815
1988.6559;-0.08847;-0.01922
1988.8726;-0.14067;-0.02357
1989.0893;-0.15626;-0.01631
1989.306;-0.14828;-0.00701
1989.5227;-0.14046;0.01453
1989.7394;-0.14151;0.0367
1989.9561;-0.14504;0.0319
1990.1728;-0.1318;0.0359
1990.3895;-0.09714;0.02178
1990.6062;-0.04155;0.00592
1990.8229;0.01615;0.01133
1991.0396;0.05463;0.02761
1991.2563;0.07124;0.04276
1991.473;0.0894;0.04564
1991.6897;0.12675;0.05944
1991.9064;0.17014;0.05797
1992.1231;0.18353;0.04139
1992.3398;0.16672;0.03328
1992.5565;0.12421;0.02223
1992.7732;0.09386;0.00434
1992.9899;0.07801;0.00787
1993.2066;0.06474;0.03176
1993.4233;0.02964;0.03398
1993.64;-0.02342;0.03658
1993.8567;-0.07026;0.03209
1994.0734;-0.10649;0.0000999
1994.2901;-0.11568;-0.02001
1994.5068;-0.11936;-0.02078
1994.7235;-0.12624;-0.00332
1994.9402;-0.14229;0.00365
1995.1569;-0.15881;0.00728
1995.3736;-0.14932;0.0156
1995.5903;-0.11632;0.00571
1995.807;-0.06762;-0.00336
1996.0237;-0.04054;-0.00695
1996.2404;-0.01822;-0.01459
1996.4571;0.00318;-0.02095
1996.6738;0.04137;-0.01008
1996.8905;0.08283;-0.0005473
1997.1072;0.11687;-0.0147
1997.3239;0.13816;-0.0203
1997.5406;0.13521;-0.02813
1997.7573;0.12719;-0.06078
1997.974;0.12326;-0.08327
1998.1907;0.13158;-0.0693
1998.4074;0.12972;-0.0656
1998.6241;0.10668;-0.05756
1998.8408;0.07026;-0.03087
1999.0575;0.03321;-0.03004
1999.2742;0.00749;-0.02934
1999.4909;-0.01701;-0.01383
1999.7076;-0.04712;-0.000643
1999.9243;-0.0785;-0.00207
2000.141;-0.11196;0.01137
2000.3577;-0.13642;0.03628
2000.5744;-0.14803;0.03372
2000.7911;-0.14897;0.03774
2001.0078;-0.14475;0.04702
2001.2245;-0.13231;0.04005
2001.4412;-0.10718;0.02177
2001.6579;-0.08664;0.01595
2001.8746;-0.05491;0.00853
2002.0913;-0.01859;-0.00749
2002.308;0.02634;-0.0073
2002.5247;0.05403;0.00385
2002.7414;0.07753;-0.0007806
2002.9581;0.10313;-0.00716
2003.1748;0.12611;0.00184
2003.3915;0.14252;-0.01063
2003.6082;0.14079;-0.03893
2003.8249;0.13122;-0.03653
2004.0416;0.12037;-0.0246
2004.2583;0.11033;-0.01572
2004.475;0.09226;0.00175
2004.6917;0.06144;0.02605
2004.9084;0.02072;0.02822
2005.1251;-0.01754;0.02655
2005.3418;-0.04796;0.03257
2005.5585;-0.06173;0.02822
2005.7752;-0.084;0.0238
2005.9919;-0.11924;0.03766
2006.2086;-0.15877;0.05908
2006.4253;-0.16838;0.05291
2006.642;-0.14816;0.042
2006.8587;-0.13291;0.04395
2007.0754;-0.11403;0.02087
2007.2921;-0.1061;-0.00674
2007.5088;-0.07015;-0.02983
2007.7255;-0.0219;-0.04411
2007.9422;0.03646;-0.07261
2008.1589;0.08725;-0.07876
2008.3756;0.11074;-0.0431
2008.5923;0.1275;-0.04977
2008.809;0.1441;-0.06409
2009.0257;0.18381;-0.05719
2009.2424;0.19202;-0.06736
2009.4591;0.17608;-0.08483
2009.6758;0.12912;-0.06308
2009.8925;0.08241;-0.01522
2010.1092;0.06419;-0.0075
2010.3259;0.03651;0.02404
2010.5426;-0.001;0.06193
2010.7593;-0.0863;0.04941
2010.976;-0.14659;0.02813
2011.1927;-0.18319;0.04129
2011.4094;-0.18517;0.04536
2011.6261;-0.18349;0.02722
2011.8428;-0.18766;0.04516
2012.0595;-0.18468;0.06396
2012.2762;-0.17669;0.04598
2012.4929;-0.11947;0.04156
2012.7096;-0.04834;0.05355
2012.9263;0.02477;0.02365
2013.143;0.0598;0.0157
2013.3597;0.08775;0.01885
2013.5764;0.12191;0.00356
2013.7931;0.15812;-0.01254
2014.0098;0.19487;-0.00697
2014.2265;0.19944;-0.00422
2014.4432;0.18594;-0.00814
2014.6599;0.14019;-0.01325
2014.8766;0.11268;-0.02564
2015.0933;0.08697;-0.03835
2015.31;0.06485;-0.04928
2015.5267;0.02182;-0.05764
2015.7434;-0.02636;-0.0531
2015.9601;-0.06879;-0.05239
2016.1768;-0.09648;-0.05002
2016.3935;-0.11347;-0.04158
2016.6102;-0.13311;-0.03714
2016.8269;-0.15084;-0.04473
2017.0436;-0.16226;-0.04849
2017.2603;-0.16049;-0.03854
2017.477;-0.14667;-0.03392
2017.6937;-0.11638;-0.01779
2017.9104;-0.07049;0.00809
2018.1271;-0.02377;0.02075
2018.3438;0.01531;0.03271
2018.5605;0.04486;0.04608
2018.7772;0.0723;0.04807
2018.9939;0.10177;0.04558
2019.2106;0.13099;0.06189
2019.4273;0.13539;0.07714
2019.644;0.12502;0.08809
2019.8607;0.11004;0.11281
2020.0774;0.11189;0.11829
2020.2941;0.11311;0.09677
2020.5108;0.09674;0.09306
2020.7275;0.06098;0.07695
2020.9442;0.02993;0.05394
2021.1609;0.00441;0.06996
2021.3776;-0.02749;0.07841
2021.5943;-0.05915;0.05852
2021.811;-0.08382;0.04659
2022.0277;-0.09858;0.03796
2022.2444;-0.11605;0.00251
2022.4611;-0.12426;-0.02527
2022.6778;-0.12244;-0.05234
